curveid,shape_id,X,Y
0,0,106,0
0,0,107,0
0,0,108,0
0,0,109,0
0,0,110,0
0,0,111,0
0,0,112,0
0,0,113,0
0,0,114,0
0,0,115,0
0,0,116,0
0,0,117,0
0,0,118,0
0,0,119,0
0,0,120,0
0,0,122,0
0,0,123,0
0,0,124,0
0,0,125,0
0,0,126,0
0,0,100,1
0,0,101,1
0,0,102,1
0,0,103,1
0,0,104,1
0,0,105,1
0,0,127,1
0,0,128,1
0,0,129,1
0,0,130,1
0,0,131,1
0,0,132,1
0,0,133,1
0,0,95,2
0,0,96,2
0,0,97,2
0,0,98,2
0,0,99,2
0,0,134,2
0,0,135,2
0,0,136,2
0,0,137,2
0,0,138,2
0,0,91,3
0,0,92,3
0,0,93,3
0,0,94,3
0,0,139,3
0,0,140,3
0,0,141,3
0,0,142,3
0,0,88,4
0,0,89,4
0,0,90,4
0,0,143,4
0,0,144,4
0,0,145,4
0,0,84,5
0,0,85,5
0,0,86,5
0,0,87,5
0,0,145,5
0,0,146,5
0,0,147,5
0,0,148,5
0,0,82,6
0,0,83,6
0,0,149,6
0,0,150,6
0,0,151,6
0,0,80,7
0,0,81,7
0,0,152,7
0,0,153,7
0,0,77,8
0,0,78,8
0,0,79,8
0,0,154,8
0,0,155,8
0,0,156,8
0,0,75,9
0,0,76,9
0,0,156,9
0,0,157,9
0,0,73,10
0,0,74,10
0,0,158,10
0,0,159,10
0,0,72,11
0,0,160,11
0,0,161,11
0,0,162,11
0,0,69,12
0,0,70,12
0,0,71,12
0,0,162,12
0,0,163,12
0,0,68,13
0,0,164,13
0,0,165,13
0,0,66,14
0,0,67,14
0,0,166,14
0,0,167,14
0,0,65,15
0,0,167,15
0,0,168,15
0,0,63,16
0,0,64,16
0,0,169,16
0,0,170,16
0,0,62,17
0,0,171,17
0,0,60,18
0,0,61,18
0,0,171,18
0,0,172,18
0,0,59,19
0,0,173,19
0,0,174,19
0,0,58,20
0,0,59,20
0,0,174,20
0,0,175,20
0,0,57,21
0,0,176,21
0,0,55,22
0,0,56,22
0,0,177,22
0,0,55,23
0,0,178,23
0,0,53,24
0,0,54,24
0,0,179,24
0,0,52,25
0,0,53,25
0,0,180,25
0,0,51,26
0,0,181,26
0,0,193,26
0,0,194,26
0,0,195,26
0,0,196,26
0,0,197,26
0,0,198,26
0,0,199,26
0,0,200,26
0,0,201,26
0,0,202,26
0,0,203,26
0,0,204,26
0,0,205,26
0,0,206,26
0,0,207,26
0,0,208,26
0,0,50,27
0,0,51,27
0,0,182,27
0,0,183,27
0,0,184,27
0,0,185,27
0,0,186,27
0,0,187,27
0,0,188,27
0,0,189,27
0,0,190,27
0,0,191,27
0,0,192,27
0,0,209,27
0,0,210,27
0,0,211,27
0,0,212,27
0,0,213,27
0,0,214,27
0,0,215,27
0,0,216,27
0,0,217,27
0,0,49,28
0,0,175,28
0,0,176,28
0,0,177,28
0,0,179,28
0,0,180,28
0,0,181,28
0,0,182,28
0,0,183,28
0,0,217,28
0,0,218,28
0,0,219,28
0,0,220,28
0,0,221,28
0,0,48,29
0,0,49,29
0,0,169,29
0,0,170,29
0,0,171,29
0,0,172,29
0,0,173,29
0,0,174,29
0,0,184,29
0,0,221,29
0,0,222,29
0,0,223,29
0,0,47,30
0,0,48,30
0,0,163,30
0,0,164,30
0,0,165,30
0,0,167,30
0,0,168,30
0,0,185,30
0,0,223,30
0,0,224,30
0,0,225,30
0,0,46,31
0,0,158,31
0,0,160,31
0,0,161,31
0,0,162,31
0,0,186,31
0,0,226,31
0,0,227,31
0,0,46,32
0,0,154,32
0,0,155,32
0,0,156,32
0,0,157,32
0,0,187,32
0,0,227,32
0,0,228,32
0,0,45,33
0,0,149,33
0,0,150,33
0,0,151,33
0,0,153,33
0,0,188,33
0,0,228,33
0,0,229,33
0,0,44,34
0,0,145,34
0,0,146,34
0,0,148,34
0,0,188,34
0,0,229,34
0,0,230,34
0,0,43,35
0,0,44,35
0,0,140,35
0,0,142,35
0,0,143,35
0,0,144,35
0,0,189,35
0,0,230,35
0,0,43,36
0,0,136,36
0,0,138,36
0,0,139,36
0,0,174,36
0,0,175,36
0,0,176,36
0,0,177,36
0,0,178,36
0,0,179,36
0,0,180,36
0,0,181,36
0,0,182,36
0,0,183,36
0,0,184,36
0,0,185,36
0,0,186,36
0,0,187,36
0,0,188,36
