0,0,130,252
0,1,131,251
0,2,133,251
0,3,134,252
0,4,133,253
0,5,131,253
1,0,133,251
1,1,134,250
1,2,142,250
1,3,143,251
1,4,142,252
1,5,134,252
2,0,120,251
2,1,121,250
2,2,130,250
2,3,131,251
2,4,130,252
2,5,121,252
3,0,142,250
3,1,143,249
3,2,146,249
3,3,147,250
3,4,146,251
3,5,143,251
4,0,116,250
4,1,117,249
4,2,120,249
4,3,121,250
4,4,120,251
4,5,117,251
5,0,146,249
5,1,147,248
5,2,150,248
5,3,151,249
5,4,150,250
5,5,147,250
6,0,113,249
6,1,114,248
6,2,116,248
6,3,117,249
6,4,116,250
6,5,114,250
7,0,150,248
7,1,151,247
7,2,153,247
7,3,154,248
7,4,153,249
7,5,151,249
8,0,110,248
8,1,111,247
8,2,113,247
8,3,114,248
8,4,113,249
8,5,111,249
9,0,153,247
9,1,154,246
9,2,156,246
9,3,157,247
9,4,156,248
9,5,154,248
10,0,107,247
10,1,108,246
10,2,110,246
10,3,111,247
10,4,110,248
10,5,108,248
11,0,156,246
11,1,157,245
11,2,159,245
11,3,160,246
11,4,159,247
11,5,157,247
12,0,105,246
12,1,106,245
12,2,107,245
12,3,108,246
12,4,107,247
12,5,106,247
13,0,159,245
13,1,160,244
13,2,161,244
13,3,162,245
13,4,161,246
13,5,160,246
14,0,103,245
14,1,104,244
14,2,105,244
14,3,106,245
14,4,105,246
14,5,104,246
15,0,161,244
15,1,162,243
15,2,164,243
15,3,165,244
15,4,164,245
15,5,162,245
16,0,99,243
16,1,100,244
16,2,100,243
17,0,167,241
17,1,168,240
17,2,169,240
17,3,170,241
17,4,169,242
17,5,168,242
18,0,96,241
18,1,97,242
18,2,97,241
19,0,169,240
19,1,170,239
19,2,171,239
19,3,172,240
19,4,171,241
19,5,170,241
20,0,99,240
20,1,99,241
20,2,100,241
21,0,92,238
21,1,94,240
21,2,93,239
21,3,93,238
22,0,173,237
22,1,171,239
22,2,170,239
22,3,169,240
22,4,168,240
22,5,167,241
22,6,166,241
22,7,164,243
22,8,162,243
22,9,161,244
22,10,160,244
22,11,159,245
22,12,157,245
22,13,156,246
22,14,154,246
22,15,153,247
22,16,151,247
22,17,150,248
22,18,147,248
22,19,146,249
22,20,143,249
22,21,142,250
22,22,134,250
22,23,133,251
22,24,131,251
22,25,130,250
22,26,121,250
22,27,120,249
22,28,117,249
22,29,116,248
22,30,114,248
22,31,113,247
22,32,111,247
22,33,110,246
22,34,108,246
22,35,107,245
22,36,106,245
22,37,105,244
22,38,104,244
22,39,102,242
22,40,102,243
22,41,103,243
22,42,104,244
22,43,103,245
22,44,102,245
22,45,103,245
22,46,104,246
22,47,105,246
22,48,106,247
22,49,107,247
22,50,108,248
22,51,110,248
22,52,111,249
22,53,113,249
22,54,114,250
22,55,116,250
22,56,117,251
22,57,120,251
22,58,121,252
22,59,130,252
22,60,131,253
22,61,133,253
22,62,134,252
22,63,142,252
22,64,143,251
22,65,146,251
22,66,147,250
