ShapeType,CurveID,X,Y
0.0,0.0,41,68
0.0,0.0,41,69
0.0,0.0,41,69
0.0,0.0,41,69
0.0,0.0,41,69
0.0,0.0,41,69
0.0,0.0,41,69
0.0,0.0,41,69
0.0,0.0,41,69
0.0,0.0,41,69
0.0,0.0,41,69
0.0,0.0,41,69
0.0,0.0,41,69
0.0,0.0,41,69
0.0,0.0,41,70
0.0,0.0,40,70
0.0,0.0,40,70
0.0,0.0,40,70
0.0,0.0,40,70
0.0,0.0,40,70
0.0,0.0,40,70
0.0,0.0,40,70
0.0,0.0,40,70
0.0,0.0,40,70
0.0,0.0,40,70
0.0,0.0,40,70
0.0,0.0,40,71
0.0,0.0,40,71
0.0,0.0,40,71
0.0,0.0,40,71
0.0,0.0,40,71
0.0,0.0,40,71
0.0,0.0,39,71
0.0,0.0,39,71
0.0,0.0,39,71
0.0,0.0,39,71
0.0,0.0,39,71
0.0,0.0,39,71
0.0,0.0,39,71
0.0,0.0,39,72
0.0,0.0,39,72
0.0,0.0,39,72
0.0,0.0,39,72
0.0,0.0,39,72
0.0,0.0,39,72
0.0,0.0,39,72
0.0,0.0,39,72
0.0,0.0,39,72
0.0,0.0,38,72
0.0,0.0,38,72
0.0,0.0,38,72
0.0,0.0,38,73
0.0,0.0,38,73
0.0,0.0,38,73
0.0,0.0,38,73
0.0,0.0,38,73
0.0,0.0,38,73
0.0,0.0,38,73
0.0,0.0,38,73
0.0,0.0,38,73
0.0,0.0,38,73
0.0,0.0,38,73
0.0,0.0,38,73
0.0,0.0,38,73
0.0,0.0,38,74
0.0,0.0,37,74
0.0,0.0,37,74
0.0,0.0,37,74
0.0,0.0,37,74
0.0,0.0,37,74
0.0,0.0,37,74
0.0,0.0,37,74
0.0,0.0,37,74
0.0,0.0,37,74
0.0,0.0,37,74
0.0,0.0,37,74
0.0,0.0,37,75
0.0,0.0,37,75
0.0,0.0,37,75
0.0,0.0,37,75
0.0,0.0,37,75
0.0,0.0,37,75
0.0,0.0,37,75
0.0,0.0,36,75
0.0,0.0,36,75
0.0,0.0,36,75
0.0,0.0,36,75
0.0,0.0,36,75
0.0,0.0,36,76
0.0,0.0,36,76
0.0,0.0,36,76
0.0,0.0,36,76
0.0,0.0,36,76
0.0,0.0,36,76
0.0,0.0,36,76
0.0,0.0,36,76
0.0,0.0,36,76
0.0,0.0,36,76
0.0,0.0,36,76
0.0,0.0,36,76
0.0,0.0,36,77
0.0,0.0,35,77
0.0,0.0,35,77
0.0,0.0,35,77
0.0,0.0,35,77
0.0,0.0,35,77
0.0,0.0,35,77
0.0,0.0,35,77
0.0,0.0,35,77
0.0,0.0,35,77
0.0,0.0,35,77
0.0,0.0,35,78
