ShapeType,CurveID,X,Y
0.0,0.0,40,126
0.0,0.0,40,126
0.0,0.0,40,126
0.0,0.0,40,126
0.0,0.0,40,126
0.0,0.0,40,126
0.0,0.0,40,126
0.0,0.0,40,126
0.0,0.0,40,126
0.0,0.0,40,126
0.0,0.0,39,126
0.0,0.0,39,126
0.0,0.0,39,126
0.0,0.0,39,126
0.0,0.0,39,126
0.0,0.0,39,126
0.0,0.0,39,126
0.0,0.0,39,126
0.0,0.0,39,126
0.0,0.0,39,126
0.0,0.0,39,126
0.0,0.0,39,126
0.0,0.0,38,126
0.0,0.0,38,126
0.0,0.0,38,126
0.0,0.0,38,126
0.0,0.0,38,126
0.0,0.0,38,126
0.0,0.0,38,126
0.0,0.0,38,126
0.0,0.0,38,126
0.0,0.0,38,126
0.0,0.0,38,126
0.0,0.0,37,126
0.0,0.0,37,126
0.0,0.0,37,126
0.0,0.0,37,126
0.0,0.0,37,126
0.0,0.0,37,126
0.0,0.0,37,126
0.0,0.0,37,126
0.0,0.0,37,126
0.0,0.0,37,126
0.0,0.0,37,125
0.0,0.0,37,125
0.0,0.0,37,125
0.0,0.0,36,125
0.0,0.0,36,125
0.0,0.0,36,125
0.0,0.0,36,125
0.0,0.0,36,125
0.0,0.0,36,125
0.0,0.0,36,125
0.0,0.0,36,125
0.0,0.0,36,125
0.0,0.0,36,125
0.0,0.0,36,125
0.0,0.0,36,125
0.0,0.0,35,125
0.0,0.0,35,125
0.0,0.0,35,125
0.0,0.0,35,125
0.0,0.0,35,125
0.0,0.0,35,125
0.0,0.0,35,125
0.0,0.0,35,125
0.0,0.0,35,125
0.0,0.0,35,125
0.0,0.0,35,125
0.0,0.0,35,125
0.0,0.0,35,125
0.0,0.0,34,125
0.0,0.0,34,125
0.0,0.0,34,125
0.0,0.0,34,125
0.0,0.0,34,125
0.0,0.0,34,125
0.0,0.0,34,125
0.0,0.0,34,125
0.0,0.0,34,125
0.0,0.0,34,125
0.0,0.0,34,125
0.0,0.0,34,125
0.0,0.0,34,125
0.0,0.0,34,125
0.0,0.0,33,125
0.0,0.0,33,125
0.0,0.0,33,125
0.0,0.0,33,125
0.0,0.0,33,125
0.0,0.0,33,125
0.0,0.0,33,125
0.0,0.0,33,125
0.0,0.0,33,125
0.0,0.0,33,125
0.0,0.0,33,125
0.0,0.0,33,125
0.0,0.0,33,125
0.0,0.0,33,125
0.0,0.0,32,125
0.0,0.0,32,125
0.0,0.0,32,125
0.0,0.0,32,125
0.0,0.0,32,125
0.0,0.0,32,125
0.0,0.0,32,125
0.0,0.0,32,125
0.0,0.0,32,125
0.0,0.0,32,125
0.0,0.0,32,125
0.0,0.0,32,125
0.0,0.0,32,125
0.0,0.0,32,125
0.0,0.0,32,125
